UnitID,Institution Name,Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1920),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1819_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1718_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1617_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1516_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1415_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1314_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1213_RV),
215442,Point Park University,11258148,10243379,10665473,9800319,8720495,8267764,6369616,5966199,
215619,Reconstructionist Rabbinical College,,,,,,,,,
215628,Reformed Presbyterian Theological Seminary,,,,,,,,,
215655,Robert Morris University,12174593,13550474,13496842,12103416,11774518,10315469,10753505,9911045,
215691,Rosemont College,1166341,785545,1235976,1242055,3225080,3101639,2381330,1353215,
216047,Saint Charles Borromeo Seminary-Overbrook,500,500,0,0,500,500,0,0,
215743,Saint Francis University,9120115,7415007,7487847,6006815,7030973,6843431,7060976,6972175,
215770,Saint Joseph's University,28550835,27197392,25287834,27987210,24371020,24921037,23002240,20639969,
215798,Saint Vincent College,9254115,10359093,10787531,8628199,8793516,9040177,9390112,6194022,
215813,Saint Vincent Seminary,,,,,,,,,
214564,Salus University,,,,,,,,,
215947,Seton Hill University,9467276,8403400,8944963,7119661,7472229,5968711,6515882,5301831,
216278,Susquehanna University,20973628,19501150,18922008,17669359,17539162,13280484,13085326,12315945,
216287,Swarthmore College,12104562,11307030,10325123,10756980,10205687,8277379,7301884,6398332,
216311,Talmudical Yeshiva of Philadelphia,158063,154850,127441,163990,155901,133790,209101,156570,
215105,The University of the Arts,9285618,9445233,9148105,8407064,8016529,6544760,7701190,6378522,
216348,Theological Seminary of the Reformed Episcopal Church,,,,,,,,,
216357,Thiel College,5270054,4126652,3099997,4547217,3249628,4004893,4241305,3917419,
216366,Thomas Jefferson University,17041530,15569191,12345281,,,,,,
216463,Trinity Episcopal School for Ministry,,,,,,,,,
213631,United Lutheran Seminary,,,,,,,,,
215062,University of Pennsylvania,56490483,57889250,49745626,49004167,48381987,42644007,43245442,43117433,
215929,University of Scranton,23692276,21216018,18710635,18942225,18063461,20673194,15195270,15975485,
215132,University of the Sciences,4044381,2089679,7980252,6764520,5788193,7106150,7520221,7805059,
216542,University of Valley Forge,1116935,1053887,1032045,1078277,844937,538220,584840,757751,
216524,Ursinus College,15785580,12940281,12749118,11820250,12538743,14417750,10744005,10300630,
216597,Villanova University,30097834,28306330,28293411,26081311,25067242,23808270,21375829,21376030,
216667,Washington & Jefferson College,9401172,11289826,9403397,11359348,9921629,9263690,6963330,7030928,
216694,Waynesburg University,4886364,3940046,4808460,4337796,4029794,3306379,3772175,2899862,
216807,Westminster College,7266453,8670718,7889281,8181041,6545377,5931318,5646210,5678277,
216816,Westminster Theological Seminary,,,,,,,,,
216852,Widener University,19737745,21714493,19692896,17261144,20190155,16652694,17257220,13992596,
216931,Wilkes University,10563890,13955688,10881450,11533893,10335940,9328311,8636391,8211838,
217013,Wilson College,2160435,2174609,1890591,1472447,1346754,1161600,1036165,914719,
442064,Won Institute of Graduate Studies,,,,,,,,,
217040,Yeshivath Beth Moshe,17071,15817,10194,11941,58121,82866,61116,63262,
217059,York College of Pennsylvania,7390997,7844871,7082204,6176802,4889365,5966432,5363601,4583586,
