UnitID,Institution Name,Students from the full-time adjusted fall 2018 cohort enrolled in fall 2019 (EF2019D),Students from the full-time adjusted fall 2017 cohort enrolled in fall 2018 (EF2018D_RV),Students from the full-time adjusted fall 2016 cohort enrolled in fall 2017 (EF2017D_RV),Students from the full-time adjusted fall 2015 cohort enrolled in fall 2016 (EF2016D_RV),Students from the full-time adjusted fall 2014 cohort enrolled in fall 2015 (EF2015D_RV),Students from the full-time adjusted fall 2013 cohort enrolled in fall 2014 (EF2014D_RV),Students from the full-time adjusted fall 2012 cohort enrolled in fall 2013 (EF2013D_RV),Students from the full-time adjusted fall 2011 cohort enrolled in fall 2012 (EF2012D_RV),
202912,Good Samaritan College of Nursing and Health Science,0,0,0,0,0,0,0,0,
129154,Goodwin University,0,0,0,10,37,34,40,51,
165936,Gordon College,357,344,346,375,336,388,379,365,
165945,Gordon-Conwell Theological Seminary,,,,,,,,,
150668,Goshen College,152,156,145,144,124,129,129,144,
162654,Goucher College,325,323,345,306,329,308,350,307,
170000,Grace Christian University,69,40,43,56,40,61,67,42,
150677,Grace College and Theological Seminary,264,294,316,296,284,281,264,237,
461528,Grace College of Divinity,4,0,1,2,10,7,1,0,
481058,Grace Mission University,1,1,4,6,8,35,23,,
481401,Grace School of Theology,2,0,0,0,0,0,0,,
153366,Graceland University-Lamoni,204,153,159,190,172,194,161,176,
115214,Graduate Theological Union,,,,,,,,,
153375,Grand View University,220,232,223,182,206,212,200,259,
212771,Gratz College,,,,0,,,,,
170091,Great Lakes Christian College,15,16,14,17,12,18,12,22,
198598,Greensboro College,117,133,216,123,102,103,136,104,
145372,Greenville University,136,153,144,175,221,195,191,172,
153384,Grinnell College,436,413,395,413,409,399,414,426,
212805,Grove City College,545,557,520,512,570,591,590,561,
198613,Guilford College,238,231,278,229,235,290,219,249,
173647,Gustavus Adolphus College,573,471,482,543,542,549,614,642,
212832,Gwynedd Mercy University,151,141,104,123,114,53,74,64,
225201,Hallmark University,13,40,10,4,5,9,20,9,
191515,Hamilton College,454,453,452,443,438,471,441,463,
173665,Hamline University,417,394,460,404,409,444,439,416,
232256,Hampden-Sydney College,270,253,236,243,265,243,268,249,
166018,Hampshire College,188,258,244,293,263,296,290,292,
232265,Hampton University,687,756,979,746,677,766,667,610,
177542,Hannibal-LaGrange University,66,79,74,82,81,96,119,96,
150756,Hanover College,280,257,242,248,239,273,301,266,
225247,Hardin-Simmons University,320,307,293,293,230,264,247,260,
107044,Harding University,725,799,836,814,903,844,839,817,
446640,Harrisburg University of Science and Technology,132,144,89,63,48,59,84,49,
