UnitID,Institution Name,Total expenses-Total amount (F1819_F2),Total expenses-Total amount (F1718_F2_RV),Total expenses-Total amount (F1617_F2_RV),Total expenses-Total amount (F1516_F2_RV),Total expenses-Total amount (F1415_F2_RV),Total expenses-Total amount (F1314_F2_RV),Total expenses-Total amount (F1213_F2_RV),Total expenses-Total amount (F1112_F2_RV),
109651,Art Center College of Design,105328000,98848000,88665000,117040000,110374000,100719000,83238000,84042000,
156222,Asbury Theological Seminary,29347647,29348904,28589741,28861406,26535112,24579280,23906051,24089704,
156213,Asbury University,37974268,38108985,36193853,36109077,37490413,34569887,32552799,30716858,
201104,Ashland University,106680081,98589366,95255700,91485926,87368824,90882500,99285453,91149398,
188942,Associated Beth Rivkah Schools,1513820,1311979,1295628,1315494,1011812,853973,920309,868216,
164562,Assumption University,69010433,67709850,67333253,68525905,68022430,67021711,67142782,64263854,
201140,Athenaeum of Ohio,5872739,6198981,5744162,5568304,5655257,5620186,5336572,5266202,
439446,Atlantic Institute of Oriental Medicine,2535792,2646641,2614290,2597875,2666650,2529692,2065771,1877204,
173045,Augsburg University,81416868,77145828,74390350,75373438,73204872,71848677,73198194,73543091,
143084,Augustana College,76883342,77400098,74983650,74979020,73903165,71741222,69102191,69444309,
219000,Augustana University,54345328,53099998,51238548,47991742,47037725,45995434,45483919,43247363,
201177,Aultman College of Nursing and Health Sciences,6223181,6083137,4633723,5182526,5050414,4749876,4556231,4465668,
143118,Aurora University,85380893,79137352,73486094,73124542,70718149,66404701,62877672,59695399,
222983,Austin College,46723631,47055373,44759946,43286433,43611568,40488779,42660486,39966810,
247825,Austin Graduate School of Theology,1489164,1413539,1414083,1454918,1435655,1337312,1307037,1170120,
223001,Austin Presbyterian Theological Seminary,9483080,10385298,10829858,9482453,8855532,8885566,8689027,8224719,
442295,Ave Maria School of Law,11880504,11117742,11193404,11511326,11324457,12664584,12501080,16588132,
446048,Ave Maria University,39899883,39261439,39127091,37885505,37089533,35887094,38894167,34285007,
231420,Averett University,27379273,26844368,25910942,26249561,22856131,23615793,25439723,24119747,
449931,Averett University-Non-Traditional Programs,4250588,4744942,4439421,6050689,7424265,8381240,9432340,5324234,
176628,Avila University,28482742,29220242,30089349,30488168,29784556,28045922,27231004,24794358,
109785,Azusa Pacific University,240563410,260675670,249237459,241894238,238377395,244742038,233594974,217828437,
164580,Babson College,217622252,207437927,202908136,191865408,187882455,184028524,167543235,161515864,
206817,Bacone College,6798964,12987230,13927374,13775193,15247412,16026360,14747907,15724439,
128586,Bais Binyomin Academy,2098815,2047013,1881035,1772262,1996378,1787500,2022537,2159811,
476601,Bais HaMedrash and Mesivta of Baltimore,2530673,2086044,1797293,1675859,2079389,1872098,1578664,1529856,
245777,Bais Medrash Elyon,1273902,1293712,1239922,1581205,1234291,1052668,884588,1053563,
490513,Bais Medrash Mayan Hatorah,1299061,1223952,1124380,,,,,,
449658,Bais Medrash Toras Chesed,1473535,1487900,1390419,1465278,1406437,1362207,1312930,1249376,
168847,Baker College,117408650,137328264,161134294,168776818,200011609,226200787,230835058,235444411,
154688,Baker University,37157209,36421543,38823769,37367658,41775452,40985194,40533712,39998098,
420705,Bakke Graduate University,813712,850754,858367,1041055,1109387,790250,871757,2510056,
201195,Baldwin Wallace University,102254607,101712758,101827463,98505301,96126597,89586391,89617748,88386310,
189015,Bank Street College of Education,60337827,61066694,60277474,59204786,58022707,53436882,52877697,54936342,
176664,Baptist Bible College,4828220,5486863,6114629,6363249,6670987,5963671,6376752,6774284,
219639,Baptist Health Sciences University,17628781,17118405,16574417,16029909,15766160,15539804,14923090,14207198,
223117,Baptist Missionary Association Theological Seminary,1628521,1750165,1797002,1901702,1851284,1680099,1590625,1602858,
444398,Baptist University of the Americas,3399883,4617271,4358851,4627482,4294295,4637320,4098722,3855934,
155070,Barclay College,8789286,8590419,8667818,8069215,7589188,7331145,7439493,7094358,
189088,Bard College,175910478,172597801,161964296,172882869,165186838,159417849,157668098,148680443,
167792,Bard College at Simon's Rock,23795790,22850930,22702786,20972571,20946655,20032811,19513185,19849089,
189097,Barnard College,185458000,165982000,157388000,156124000,150108000,140684000,132683000,133862000,
177719,Barnes-Jewish College Goldfarb School of Nursing,21680217,18109602,18225350,17520089,17316030,17632240,17960702,16865524,
132471,Barry University,139823912,136520233,145597360,154091789,157754808,158601566,165793886,156667091,
197911,Barton College,28906633,27241751,25484840,24931505,23855851,22758613,22200752,22854016,
235547,Bastyr University,41900570,41740529,42475979,41743459,40336377,37399416,35194911,32800915,
160977,Bates College,119852876,115352850,112073881,104574672,103404243,100957856,99287008,97418223,
164632,Bay Path University,57128630,57826871,52995388,48178403,44521505,39198872,32946837,29748764,
223223,Baylor College of Medicine,2085131538,1985570319,1829033797,1709316524,1582360429,1470374465,1380654522,1300915168,
223232,Baylor University,710091000,664757000,660164000,636417000,558654000,547391000,500159000,473174000,
476717,Be'er Yaakov Talmudic Seminary,6460509,5150534,4765108,4299580,3728319,2973416,2326286,1557904,
384254,Beacon College,17307107,14677087,13608115,11218388,9741515,8337062,7362966,5882580,
164720,Becker College,46511206,47047202,45888779,45211957,43848887,41343788,37469376,34859427,
444413,Beis Medrash Heichal Dovid,2244670,2086381,2200434,1985993,1762480,1688567,1769738,1938090,
175421,Belhaven University,52639948,50930237,48962894,47253784,44031073,40778569,49975169,47226145,
156286,Bellarmine University,76919436,83561009,80612755,76557514,72652583,67342425,66197638,61649781,
180814,Bellevue University,91496396,78453335,75479126,76619700,76330454,73973886,75519103,77246542,
238324,Bellin College,12554891,11500010,11061170,9633370,8149809,7238058,6477871,6204556,
197984,Belmont Abbey College,32258554,30553796,29509203,28626276,27946009,27736193,29082934,27067770,
219709,Belmont University,188741807,178920959,168367371,160420126,148538850,139114840,131997870,122595379,
238333,Beloit College,49262928,52674656,54840660,51633333,50017866,50808787,47575270,51476277,
217721,Benedict College,47849233,50114584,54645167,54733172,54756770,56966725,62928347,66787597,
154712,Benedictine College,53339460,49643152,48962800,45714816,43479486,40625272,38717008,34149383,
145619,Benedictine University,83587256,91720928,95107725,92937565,92173157,94586204,86980684,86628070,
165884,Benjamin Franklin Institute of Technology,14215060,13003539,11400790,11012072,10508420,9912636,10194567,9435490,
197993,Bennett College,17611330,15621346,15898423,17378815,18170969,18798118,20658116,21123580,
230816,Bennington College,42848765,41941818,40248765,37591645,36282040,45911865,34501689,32106902,
164739,Bentley University,221882000,218225000,209566000,210172000,196313000,191204000,185116000,181504000,
156295,Berea College,131978461,118584587,104699869,102374199,97171488,92334385,93626781,79501192,
461643,Bergin University of Canine Studies,1400926,1352215,1292383,1098730,890499,1190677,353344,268403,
108861,Berkeley School of Theology,2960509,2973987,2858976,2656647,2714021,2575855,2366903,2232778,
164748,Berklee College of Music,276056365,274261957,268200779,226241388,220747024,201557381,193077393,180797701,
139144,Berry College,95389187,93401112,91206863,91235789,88403841,87626583,83062061,78819044,
485999,Bet Medrash Gadol Ateret Torah,5070719,5058515,4268678,3998771,3900673,,,,
189273,Beth Hamedrash Shaarei Yosher Institute,2963241,2443373,2171941,2153121,2166748,2359284,2059451,2099948,
183804,Beth Medrash Govoha,52248666,54217977,50514637,47171888,44945951,41859656,40339752,36153241,
486196,Beth Medrash Meor Yitzchok,2553722,2462232,2335524,2206662,1949587,,,,
488314,Beth Medrash of Asbury Park,837938,700450,737136,641040,,,,,
154721,Bethany College,16570247,15420987,15480241,15831355,16725878,13978678,12764278,12148167,
237181,Bethany College,25258378,25542698,23895250,24852408,25899968,24092431,25780889,24403111,
486284,Bethany Global University,13162887,11419508,10567667,8507780,8485245,,,,
173142,Bethany Lutheran College,19356728,20011955,18577938,17673482,17818318,18166983,18197527,17863574,
143233,Bethany Theological Seminary,3268880,3404761,3227738,3042664,2940634,2949616,2840628,2735266,
154749,Bethel College-North Newton,14481629,14382691,13845396,13862698,14023199,13829356,13116128,12402255,
262022,Bethel Seminary-San Diego,2646243,3086141,2665632,2458626,2604358,2679268,2726313,3156720,
150145,Bethel University,29260412,30011264,29327975,31040246,32166355,34733651,32763115,32401661,
173160,Bethel University,98667758,97787298,93954878,99401347,90409731,91391232,95457267,105147606,
219718,Bethel University,48902137,53842491,58013240,58903145,63528037,68771296,71702451,65117334,
110060,Bethesda University,2972738,3107432,3135916,3664784,4224031,3451516,3437288,3653541,
486053,Bethlehem College & Seminary,4672287,4264137,3872604,3770972,3363894,,,,
132602,Bethune-Cookman University,92403963,97091227,97089640,95028431,83006564,76078119,69377640,64326346,
139153,Beulah Heights University,4835930,5458277,5848850,5366092,4585484,5185219,5134650,5503658,
443702,Bexley Hall Seabury Western Theological Seminary Federation  Inc.,2499325,2225367,2310293,3069474,2605771,678608,1017291,928653,
110097,Biola University,167058000,157310000,161441000,155680000,152760000,147391000,143292000,138861000,
100937,Birmingham-Southern College,45928718,47313742,47596268,46195262,46698916,45134655,45529808,45848258,
442949,Birthingway College of Midwifery,733456,861187,930966,1033361,1021817,1015692,926239,796275,
143288,Blackburn College,15807172,15544386,14691243,14188476,13883873,13121583,12350310,12233910,
143297,Blessing Rieman College of Nursing and Health Sciences,8027564,7015755,6398403,5939219,5606995,5411025,4937634,4367642,
183822,Bloomfield College,44379880,44885963,45395754,45383516,44797924,43301800,42210517,41272216,
175430,Blue Mountain College,10656022,10648316,9550269,8670214,8374941,8005744,7810687,9709463,
231554,Bluefield College,20240568,16417822,15028005,13641756,12987347,13129665,13032772,12785753,
201371,Bluffton University,21230528,21692482,23053525,23683137,22444410,22580954,22656480,22691306,
217749,Bob Jones University,76326171,76519393,,,,,,,
142090,Boise Bible College,3085283,2857310,3082395,3618815,3840312,3611941,3983270,5362968,
233356,Bon Secours Memorial College of Nursing,9550828,8474996,7785797,7918500,6838034,6724251,6069722,5780877,
189413,Boricua College,11997740,14884161,12673681,12971249,13731417,14392275,13957326,13310725,
164872,Boston Architectural College,17327960,17304585,17278498,17929990,18277734,19587659,19115903,19067785,
164614,Boston Baptist College,1827424,1936354,2075811,2029829,2136601,2200471,2282463,2348297,
164924,Boston College,865336171,835489413,798830025,761246365,732941628,702591541,670940163,653549864,
164915,Boston Graduate School of Psychoanalysis Inc,1735959,1482585,1578264,1564057,1580668,1708114,1634190,1628409,
164988,Boston University,2037182000,1902456000,1776732926,1721213132,1669213953,1641418225,1648030798,1621684768,
161004,Bowdoin College,180530000,167456000,160575000,157249000,154283000,146642000,140051000,131526000,
143358,Bradley University,162725107,160346428,153298594,136466208,166852611,154756908,157664735,151277688,
165015,Brandeis University,354476713,346494243,343470378,333597059,327721436,321431756,309786001,294428334,
262086,Brandman University,100910306,93608299,92095368,93607961,91935493,90173301,83024810,78738678,
139199,Brenau University,54871837,52514273,50612132,47086126,44971778,40242510,37613594,35476362,
156356,Brescia University,14518205,14549659,14162108,14295585,14181548,12703364,12492842,11085693,
198066,Brevard College,18875433,18020745,17622330,17445055,16502066,15905968,15376050,15125793,
139205,Brewton-Parker College,10260229,10059311,9370575,8831131,9307109,9590529,9423045,9401749,
152992,Briar Cliff University,25944680,25346157,23786410,22338792,21528982,21313752,20713865,19907528,
231581,Bridgewater College,50782456,49679776,47639127,44702346,42669932,40393423,38545617,40276753,
142522,Brigham Young University-Idaho,300377000,289437000,279765000,261291000,237794000,232495000,216818000,194212000,
230038,Brigham Young University-Provo,1147530324,1115409851,1048798235,1011303343,967282023,984399453,949595347,909697211,
450304,Brite Divinity School,7827615,6887049,7043649,7264503,7411268,6976748,7460443,6898701,
189501,Brooklyn Law School,58613947,60049008,56004511,54502929,54030594,54353418,60596978,58439522,
217156,Brown University,1014978000,968340000,901068000,854890000,825925000,774578000,729782000,704820000,
180878,Bryan College of Health Sciences,13839756,13354753,13160641,12907325,12770825,11523601,11192391,10436674,
219790,Bryan College-Dayton,16744489,16637110,17315974,17624403,17124526,18635806,20747722,19715801,
217165,Bryant University,156606000,151451000,147245000,142058000,132139000,129076000,122992000,129281000,
210492,Bryn Athyn College of the New Church,17295939,16778882,15362871,14697967,14277944,13812889,13862853,15034171,
211273,Bryn Mawr College,133746000,122074000,123769000,122188000,117866000,117304000,115806000,107955000,
211291,Bucknell University,239462000,241253000,231833000,219237000,205637000,200780000,195091000,179256000,
153001,Buena Vista University,42067365,43560744,44211992,42637663,43561789,44310073,45651394,45593490,
209409,Bushnell University,14948405,14444883,14592293,13528639,12362922,11844848,11158000,10642063,
150163,Butler University,190417000,177518000,173797000,163314000,157581000,151142000,145192000,136438000,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,948329,877438,784556,769641,825917,748111,688904,667548,
198109,Cabarrus College of Health Sciences,7485645,7678645,7469363,6980398,6504782,5563773,5470441,5204054,
211352,Cabrini University,54617006,55873422,54764096,55124151,52519052,49330002,52439008,51998139,
215114,Cairn University-Langhorne,22060103,21185792,20140655,19717582,19789452,20657474,20954703,20782359,
183910,Caldwell University,46312000,46130000,41860000,43217228,42352872,39297750,37628712,36439120,
110361,California Baptist University,220882824,201944415,181250498,167064583,154880080,134067095,118058109,105415518,
110918,California Christian College,497093,436858,414455,489411,464004,530359,531074,507152,
110370,California College of the Arts,84785000,78319000,74079000,70945000,64494000,60276000,57182000,54814000,
478634,California College San Diego,5499793,5603096,6727589,6398038,5091631,4090171,2909203,,
485263,California College San Diego,12326202,13398657,15844034,16284139,17588455,18249056,,,
474890,California College San Diego-CollegeAmerica-Phoenix,7151782,7299325,8367631,8432862,8654288,7757067,6446388,,
487649,California Institute of Advanced Management,1836428,1436439,1235393,1087754,974503,,,,
110316,California Institute of Integral Studies,29584940,29301057,29978436,31737316,23830331,23025026,24665953,24734045,
110404,California Institute of Technology,3462003872,3368557989,2978841737,2538636000,2417641000,2201797000,2044550000,2196064000,
111081,California Institute of the Arts,70361490,68193834,66518506,65227744,61750120,61422984,58039919,55996048,
486488,California Jazz Conservatory,3188293,2496720,2449217,2334948,2140129,,,,
110413,California Lutheran University,123742763,116774523,112010596,108985167,106828395,98802661,92112774,87963864,
111391,California Western School of Law,31920190,28648083,27366431,28525053,27921717,28106695,29488026,31596035,
150172,Calumet College of Saint Joseph,11102987,11707704,12362394,12602370,13273771,12930166,12537873,13383758,
176789,Calvary University,6075389,5513229,4362768,4467696,4526981,4501341,4716705,4753256,
169099,Calvin Theological Seminary,9677070,10903172,10486887,10791570,10893991,10444997,10039816,10225711,
169080,Calvin University,120746000,121861659,122174868,122244737,124675889,124514962,127229585,125519680,
165167,Cambridge College,32933781,32364122,31472013,27851042,27858864,31167820,34640968,37990073,
198136,Campbell University,166619577,158830222,152429342,134559768,118828398,113895031,98905813,96513628,
156365,Campbellsville University,88779592,71911228,49807912,40967031,38222881,39260760,38491986,37931658,
189705,Canisius College,77436066,87993073,85317467,90747801,90240412,91782643,93635397,98629285,
201548,Capital University,79315488,77641390,72823653,72149300,71118346,76012376,74795836,72782341,
162061,Capitol Technology University,18088011,15803416,15229484,14322617,15828025,15931699,14019571,13223332,
238430,Cardinal Stritch University,32193303,32459536,35619885,37899674,47455109,52804134,60313781,60388247,
173258,Carleton College,144963843,142143913,138089424,133615578,127690800,124773465,122184389,118224636,
211431,Carlow University,48114142,48280220,45618402,44774510,43499287,43030713,42072723,41872202,
211440,Carnegie Mellon University,1251069552,1198662597,1134536986,1096053023,1085370967,1061772569,1027732912,974784095,
199971,Carolina Christian College,657174,493053,377522,408725,431959,589522,491227,581828,
461032,Carolina College of Biblical Studies,1351862,1338880,1298509,1063608,1037434,820514,666758,435488,
489937,Carolina University,10770194,7603518,5605855,5654505,,,,,
180106,Carroll College,38391547,38328800,38649282,37885081,37384995,35215677,33363651,31426665,
238458,Carroll University,77191789,73895658,73211072,68204456,65722674,66240661,61875151,57530700,
219806,Carson-Newman University,43546484,41540113,42175992,42720763,40182096,39468206,36025967,36787662,
238476,Carthage College,84284519,85530090,75839969,77148641,70113719,66640989,63118553,62425936,
201645,Case Western Reserve University,1007271475,981887844,958453771,915644304,874303976,861437615,865963369,859730079,
198215,Catawba College,59196680,57693468,53499783,51756576,47229110,46433198,41636023,41955539,
143659,Catholic Theological Union at Chicago,11052361,10516977,9780872,9269806,9910638,9734656,10696815,9967975,
189848,Cazenovia College,22441174,23188519,25249107,25050068,25305175,24899805,24213904,23449242,
211468,Cedar Crest College,37788142,36402463,33642339,31964780,30022537,29181528,29754544,30620224,
201654,Cedarville University,88796497,85166746,85607191,83407272,85112356,82392372,83912303,74549905,
158477,Centenary College of Louisiana,25682839,24868572,25451943,26119554,26064338,27295722,26349841,26665862,
183974,Centenary University,41497235,42774337,46560973,43663676,44392362,45803331,44833444,45982591,
232618,Centra College,4424650,3731984,3000014,2746810,2717226,2442139,2628895,2478901,
106713,Central Baptist College,10275875,11249443,11361850,10716426,10289523,9671032,9388800,8830163,
154855,Central Christian College of Kansas,12797681,15029694,12766267,13101374,13420895,11935198,9927549,8247157,
176910,Central Christian College of the Bible,4546012,4179719,3993172,3957184,4402675,4461969,4790502,4921144,
153108,Central College,45966237,45937925,45422100,45870332,46497083,45177554,45908403,47702556,
445267,Central Methodist University-College of Graduate and Extended Studies,,,,,,,,,
176947,Central Methodist University-College of Liberal Arts and Sciences,36394117,35344978,34236749,33080302,32136088,29023307,26504883,23738112,
488004,Central Yeshiva Beth Joseph,1359689,1450256,1377672,1385645,,,,,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,4233328,4108635,4653730,4120739,4208056,4270891,4392152,4687704,
156408,Centre College,65159277,63804270,64297703,61285801,59653468,57095155,57630782,54400912,
492069,Champion Christian College,939479,453327,,,,,,,
230852,Champlain College,91559252,92808777,92407588,86130424,81665449,78789025,74065528,70915707,
111948,Chapman University,356055980,317935381,291795889,275586641,252204752,239502057,224560016,203619317,
111966,Charles R Drew University of Medicine and Science,59149900,52820500,50404100,48011500,47984300,51156600,50303500,47253300,
217688,Charleston Southern University,60331053,57581415,53680189,50564558,47823546,47394498,45389575,42728329,
444778,Charlotte Christian College and Theological Seminary,870195,891621,1073238,987581,1216648,1195293,1132856,1076966,
211556,Chatham University,70146590,65300384,63275458,59205940,53503234,52813772,49662274,52149286,
211583,Chestnut Hill College,37232898,36912718,36130845,37305569,38342883,37850971,38725099,37986217,
437732,Chicago School of Professional Psychology - College of Nursing,4685756,5911399,5866876,4926011,4962711,5185755,,,
492607,Chicago School of Professional Psychology at Dallas,,,,,,,,,
144014,Chicago Theological Seminary,6538680,6400905,6342743,6416391,6007407,6094201,6463263,6063020,
198303,Chowan University,28238736,29295438,28195454,26150916,25109373,22645490,21871729,19848329,
189981,Christ the King Seminary,4131452,3858000,3967883,4005972,4179105,3707950,3636104,3445791,
219833,Christian Brothers University,40309719,38456690,58570742,55650507,52448872,47031080,44993110,45674415,
150215,Christian Theological Seminary,17699903,19083450,19720687,19843511,20535916,18893639,11849615,10043540,
112127,Church Divinity School of the Pacific,5051441,5100469,4799127,4913621,4717961,4687587,4797828,4676808,
201867,Cincinnati College of Mortuary Science,2056627,1920154,1679901,1577107,1464476,1387262,1459519,2023713,
244233,City College-Fort Lauderdale,6450653,6812545,7638623,8339183,9097446,20851598,22374927,23245702,
406547,City College-Gainesville,3868498,4022096,4773513,5526234,5942062,,,,
434539,City College-Miami,3866401,4028395,4799977,5078619,5193041,,,,
234915,City University of Seattle,34825241,35299367,32930807,34361695,34143958,30784703,28794417,39751696,
217873,Claflin University,55240149,51419145,48519862,47436207,44326262,43662861,43525287,43638668,
112251,Claremont Graduate University,72126166,69753106,69277941,68317346,69217910,68707464,65055841,66077646,
112260,Claremont McKenna College,127469000,121489000,115518000,105522000,103871000,100715000,97562000,94066000,
124283,Claremont School of Theology,10499163,9695461,10619343,10689869,11084841,9226846,12173593,10068824,
138947,Clark Atlanta University,103606835,98281882,92812890,90511617,85845140,85290831,87217165,89196364,
165334,Clark University,114726000,110707000,107712000,106715000,103025000,100423000,97629000,98698000,
153126,Clarke University,25236100,25358440,25933048,26127650,26813707,26558056,25163911,23948468,
211024,Clarks Summit University,9367877,10538724,12013251,13225863,14303665,14333137,13955281,14438380,
180832,Clarkson College,20850658,19272326,18725052,17583160,16948907,16883517,16174061,15199606,
190044,Clarkson University,136872126,138451030,139172119,135094734,126458068,120180421,117476660,113336151,
156417,Clear Creek Baptist Bible College,3122457,3264427,3408429,3662709,3753025,3843443,4047655,4052075,
169327,Cleary University,11577494,11370420,10073712,8714118,7776499,7358501,8060104,8188540,
202046,Cleveland Institute of Art,23822149,22280932,22533089,23479387,21328645,20293436,18618250,19720598,
202073,Cleveland Institute of Music,19389431,19688689,20551157,20330273,19619616,19071034,18389711,17612550,
177038,Cleveland University-Kansas City,16441010,15011417,13866518,13243896,12935048,13043185,12826312,15228713,
217891,Clinton College,5198855,4192094,3574600,2950725,3338480,3189899,3444882,3339666,
153144,Coe College,41900194,40839176,40888280,40010899,37996820,38946178,37588636,35586109,
217907,Coker University,25630644,25122434,24845597,23555849,23401249,23138602,21702010,20908008,
161086,Colby College,159925000,154010000,144738000,139050000,127795000,116458000,113006000,109423000,
182634,Colby-Sawyer College,30990939,32268953,33844943,36164253,36256883,36553374,34329038,34663040,
190080,Colgate Rochester Crozer Divinity School,3905255,4084975,4350891,4328253,4062405,3895699,4013791,3837752,
190099,Colgate University,219228075,205551354,191602065,184004732,181090132,174175874,165908490,156459907,
169442,College for Creative Studies,56811054,54579768,54982508,83614218,53372832,50241369,49369599,47860013,
388520,College of Biblical Studies-Houston,8754691,7059236,7085019,7318281,8733893,8598363,7787126,6988482,
