UnitID,Institution Name,Total expenses-Total amount (F1819_F2),Total expenses-Total amount (F1718_F2_RV),Total expenses-Total amount (F1617_F2_RV),Total expenses-Total amount (F1516_F2_RV),Total expenses-Total amount (F1415_F2_RV),Total expenses-Total amount (F1314_F2_RV),Total expenses-Total amount (F1213_F2_RV),Total expenses-Total amount (F1112_F2_RV),
442356,Pennsylvania College of Health Sciences,37383714,37332863,36141010,26813804,24368186,23742256,20187649,21235429,
215123,Philadelphia College of Osteopathic Medicine,138296516,128806635,127544622,119222712,114693695,108801234,102925190,100141949,
215415,Pittsburgh Technical College,38195353,35187129,37882639,,,,,,
215424,Pittsburgh Theological Seminary,20066364,20051060,11568598,11061658,10611498,10572511,11058197,10457216,
215442,Point Park University,80698656,80200430,79277464,79779786,75169618,74627081,72073703,71144248,
215619,Reconstructionist Rabbinical College,6008381,6209373,6206029,5966111,5557931,5432787,5162455,5061954,
215628,Reformed Presbyterian Theological Seminary,1680523,1667955,1573016,1557337,1601220,1439597,1355610,1354408,
215655,Robert Morris University,130113575,130295597,125650946,127216698,123596458,118549149,114251325,107643944,
215691,Rosemont College,19369903,19720854,19110256,19979376,20008970,18687239,18494657,17700741,
216047,Saint Charles Borromeo Seminary-Overbrook,12318891,12171224,15541438,12096686,11317600,10849268,10701724,10685721,
215743,Saint Francis University,66362053,68224358,67650750,64991217,64234020,61159473,57902073,56897437,
215770,Saint Joseph's University,214055693,207835029,208915358,211866092,213581189,219678681,209919260,218979740,
215798,Saint Vincent College,58089693,57293046,55248013,53072073,50521562,50115120,50543648,51447639,
215813,Saint Vincent Seminary,,,,,,,,,
214564,Salus University,54330301,49491348,49645649,47513529,42937626,42296481,38400309,40200595,
215947,Seton Hill University,51551959,50846961,48952866,48571285,48651028,47451239,44269170,42079818,
216278,Susquehanna University,85112710,82104501,81665928,76658061,74048204,74811027,74059122,71242859,
216287,Swarthmore College,179033000,169078000,161332000,148086000,137963000,135955000,128147000,124327000,
216311,Talmudical Yeshiva of Philadelphia,4716714,4273751,4096020,4139108,3833021,3945233,3812367,3759916,
215105,The University of the Arts,75407363,75834980,73487075,73794004,70758181,71151524,69365753,75405239,
216348,Theological Seminary of the Reformed Episcopal Church,641083,654538,688435,661812,670897,,523363,,
216357,Thiel College,26440661,26770360,27982593,28463483,29289986,28194139,27314306,27213602,
216366,Thomas Jefferson University,5165212035,4717991846,3903181721,3044344123,2126339919,756971209,729627678,751947139,
216463,Trinity Episcopal School for Ministry,5010929,5661685,4996691,5025127,4709192,4211671,4154240,4039364,
213631,United Lutheran Seminary,14623145,14442024,7327910,7130031,6952768,7250818,7264472,5637181,
215062,University of Pennsylvania,10498938000,9561019000,8850931000,8139987000,6723115000,6348798000,5896431000,5865047000,
215929,University of Scranton,163064596,161374473,162597402,158980584,160555933,155403572,149193296,144320093,
215132,University of the Sciences,94185317,90788304,96497875,91554916,92941660,91871367,88902536,87624599,
216542,University of Valley Forge,15074510,17360373,19213855,19925080,20650155,19924864,18779697,19375491,
216524,Ursinus College,67863827,65617489,64286733,62860693,62550078,60424981,59693006,63539738,
216597,Villanova University,442466291,423625084,392926316,382670489,377542538,373793716,367942350,361004826,
216667,Washington & Jefferson College,59183344,57652288,56237668,55536323,53964448,53752915,54388269,53770671,
216694,Waynesburg University,41265638,40571437,42543240,43311057,42283991,43920682,41474134,40449091,
216807,Westminster College,41247620,40905685,39487844,38730639,38305177,38643504,39846585,39187945,
216816,Westminster Theological Seminary,16683735,15698867,13553897,12659675,14209135,14453797,12363341,10947491,
216852,Widener University,156668033,148659991,148887662,154222525,148227135,150193655,153589933,153920377,
216931,Wilkes University,104462788,100825615,100130569,92124007,84233572,78605834,74223641,75141331,
217013,Wilson College,27079951,26577941,24543786,23184633,21083223,22181813,20647378,21389007,
442064,Won Institute of Graduate Studies,2188920,1975085,1906836,1829734,1921336,1822096,1750660,1692556,
217040,Yeshivath Beth Moshe,2469424,2594229,2708572,2855857,2985183,2416737,2255853,2435720,
217059,York College of Pennsylvania,102745514,102283195,101114279,100736373,100299443,99578348,98211782,95586529,
