UnitID,Institution Name,Value of endowment assets at the end of the fiscal year (F1819_F2_RV),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),
164562,Assumption University,102942073,108439232,102544361,93937351,101064350,100767113,92358903,79159278,
201140,Athenaeum of Ohio,28730213,27676263,25289325,22408887,23773823,22486707,19278946,14963522,
439446,Atlantic Institute of Oriental Medicine,,,,,,,,,
173045,Augsburg University,50785630,48219731,43878362,39412669,40463556,38330460,34552630,29778094,
417345,Augusta Area Dietetic Internship-University Hospital,,,,,,,,,
143084,Augustana College,172846113,168133807,159524918,140714914,145454127,144373484,127763186,115912000,
219000,Augustana University,89799219,82070752,75492914,65449455,67218931,66548932,61533887,53081643,
143118,Aurora University,42122630,41198522,43091106,40592926,45435661,46016920,41510519,38525229,
222983,Austin College,149666616,141754555,131978357,125619987,134745638,135768645,124800382,119456571,
247825,Austin Graduate School of Theology,4210840,4560667,4537212,4605835,4214421,4413139,3933333,3300894,
223001,Austin Presbyterian Theological Seminary,127642303,125837560,123190388,115372142,122062406,120370706,107815971,101659339,
442295,Ave Maria School of Law,1582461,278640,267392,293305,218305,556032,555518,553175,
446048,Ave Maria University,4652111,4627111,4500611,4222902,2443711,2147586,1603081,2198081,
231420,Averett University,26186388,25779860,23522151,21848104,23234693,23649118,22004114,23559964,
449931,Averett University-Non-Traditional Programs,,,,,,,,,
176628,Avila University,10888411,10761813,9995414,9665722,9213100,8939255,8715175,8128728,
109785,Azusa Pacific University,79062591,86913981,81435221,67747760,60728807,58088961,63909526,60525153,
164580,Babson College,459393515,421920139,391463550,346696532,348628929,332014635,275519968,239492137,
206817,Bacone College,7321863,7317190,7305205,7294201,7282627,7274319,7265992,7257143,
476601,Bais HaMedrash and Mesivta of Baltimore,,,,,,,,,
245777,Bais Medrash Elyon,,,,,,,,,
449658,Bais Medrash Toras Chesed,,,,,,,,,
168847,Baker College,328879118,331560932,303431643,284498240,257412070,250089144,221730416,181638537,
414708,Baker College Center for Graduate Studies,,,,,,,,,
444167,Baker College of Allen Park,,,,,,,,,
404073,Baker College of Auburn Hills,,,,,,,,,
404648,Baker College of Cadillac,,,,,,,,,
404082,Baker College of Clinton Township,,,,,,,,,
414160,Baker College of Jackson,,,,,,,,,
171298,Baker College of Muskegon,,,,,,,,,
168838,Baker College of Owosso,,,,,,,,,
381617,Baker College of Port Huron,,,,,,,,,
154688,Baker University,43687082,38552488,38515266,35661318,37887302,39020664,34485517,33779857,
420705,Bakke Graduate University,,,,,,,,,
201195,Baldwin Wallace University,179533319,174762903,164541026,148999095,155728404,141409711,124776975,113889457,
160968,Bangor Theological Seminary,,,,,,,,12920283,
189015,Bank Street College of Education,30583675,29601528,28507697,24745894,26799591,36737624,31728553,29335979,
176664,Baptist Bible College,262890,260626,233226,191287,164949,157199,156499,137628,
219639,Baptist Health Sciences University,51562008,45341446,40637336,35461536,33227663,24703349,19360592,14783062,
223117,Baptist Missionary Association Theological Seminary,1317817,1242428,1238906,1218628,1199516,1224736,1149249,1163442,
366793,Baptist Theological Seminary at Richmond,,3485044,3782306,3848605,3993859,4144858,,4756001,
444398,Baptist University of the Americas,3510276,3315563,3686888,2961854,3199168,3175855,2531903,2001798,
155070,Barclay College,6646264,6653835,5842293,8034629,2739069,1924430,904520,693598,
189088,Bard College,136314829,148116873,148777189,136542669,157293603,157263726,161396088,153868474,
167792,Bard College at Simon's Rock,157635,1099370,5729392,7734752,8541581,10925069,13239785,14388596,
189097,Barnard College,363623000,345097000,327160000,286761000,296517000,282048000,240710000,213516000,
